suppliers_code;qte;price;code_fournisseur
10.516SW;0;10710;F-001 
100020A;20;39270;F-001 
100020C;5;41650;F-001 
100020M;2;41650;F-001 
100020MH;0;53550;F-001 
1012SW;10;9520;F-001 
1016.5SP;4;19040;F-001 
1017.5CO;4;33320;F-001 
1022.5BR;0;57120;F-001 
1022.5GY;8;45220;F-001 
1022.5MH;0;57715;F-001 
1022.5S;18;29750;F-001 
11.515.3SW;15;15470;F-001 
110020MH;6;83300;F-001 
110020ML;2;65450;F-001 
1122.5BR;0;52360;F-001 
1122.5CO;0;47600;F-001 
1122.5DJ;0;52360;F-001 
1122.5OX;0;29750;F-001 
1122.5S;46;31535;F-001 
12.518P;0;38080;F-001 
12.518SH;0;38675;F-001 
12.518SP;0;29750;F-001 
120020MH;0;53550;F-001 
120020MHY;195;65450;F-001 
120020ST;15;39865;F-001 
120024BRCL;2;89250;F-001 
120024MH;0;73780;F-001 
1222.5BR;3;64260;F-001 
1222.5BRT;0;32725;F-001 
1222.5CM;0;33320;F-001 
1222.5CO;0;48790;F-001 
1222.5DO;11;33915;F-001 
1222.5DO12;0;33915;F-001 
1222.5KO;4;47600;F-001 
1222.5MH;0;62475;F-001 
1222.5SRT;34;36295;F-001 
13.628SW;4;42245;F-001 
1322.5COCR;3;71400;F-001 
1322.5CORT;0;59500;F-001 
1322.5DO;0;39270;F-001 
1322.5DOCR;7;40460;F-001 
1322.5MH;0;71400;F-001 
1322.5PM;0;69020;F-001 
1322.5SM;26;45220;F-001 
14.924SK;1;33320;F-001 
140024P200;1;77350;F-001 
1417.5SP;4;39270;F-001 
14513CHK;191;5355;F-001 
1457012GR;40;3570;F-001 
1457013KH;8;4284;F-001 
1457013L;5;3689;F-001 
1457013R;79;4046;F-001 
15.525AL;2;77350;F-001 
15.525P;1;89250;F-001 
15512CBR;2;11305;F-001 
15512CJR;24;4284;F-001 
1556513B;1;4760;F-001 
1556513MR;0;4165;F-001 
1556513W;0;4522;F-001 
1556514YK;35;3927;F-001 
1557013CF;0;3927;F-001 
1557013JR;0;4046;F-001 
1557013MR;0;4046;F-001 
1557013R;0;4522;F-001 
1557013S;8;4284;F-001 
1557013W;14;4522;F-001 
1557014S;34;4998;F-001 
1558013H;0;3153,5;F-001 
