suppliers_code;qte;price
10.516P;0;15500
10.516SW10;0;9800
10.516SW14;0;10000
100020INDA;20;35000
100020INDM;0;35000
100020INDSL;0;35000
100020MH;0;45000
100020MHXZM;0;115000
100020O;0;29000
1012P;0;11500
1012SW;0;8000
1016.5SP;0;17000
1017.5CO;2;28000
1022.5BR;35;53000
1022.5DS;0;24500
1022.5GR;31;29500
1022.5GY;0;38000
1022.5MH;0;46000
1022.5S;0;25500
1022.5TQ;9;23700
1022.5TR;0;25000
11.224P;0;31500
11.515.3P;0;17000
11.515.3SK;0;14500
11.515.3SW;0;13500
110020CYL;9;52000
110020GF;6;30000
110020GRL;0;42500
110020LL;1;36000
110020MH;0;70000
110020O;0;31500
110020SM;0;38000
1122.5BR;0;47000
1122.5BRJ;0;55000
1122.5CO;0;40000
1122.5DJ;0;44000
1122.5GR;6;29700
1122.5MH;16;54000
1122.5OX;0;23000
1122.5S;0;26500
1122.5SP;0;24000
1122.5TQ;20;23800
12.424P;0;32000
12.424SW;0;26500
12.515.3SW;0;13000
12.518GR;4;25000
12.518MH;0;55000
12.518P;0;31500
12.518SH;0;32500
12.518SW;0;25000
120020GYCR;0;50000
120020H;1;34000
120020MH;0;45000
120020MHXZM;0;130000
120020MHY;0;55000
120020OT;1;33500
120020TQ;9;31500
120024BRCL;2;75000
120024MH;0;62000
120024O;0;37000
1222.5BR;0;54000
1222.5CO;0;51000
1222.5DO;0;28500
1222.5DO12;0;27500
1222.5G12;0;26000
1222.5GRM;18;35500
1222.5GRRT;12;34500
1222.5GRRTN;4;37500
1222.5JL12;30;28500
1222.5MH;11;56000
1222.5O12;0;27000
1222.5RB;0;28000
1222.5SM;0;31500
1222.5SRT;0;31500
1222.5TQ12;0;26000
1222.5TQFR;0;27500
1222.5TQRT;0;26300
1222.5TY;0;49000
13.628SW;0;35500
13.8-20GR;0;59000
1318SW;0;17000
1322.5BRM;0;68000
1322.5COCR;0;60000
1322.5COM;0;62500
1322.5CORT;0;58000
1322.5DO12;6;34000
1322.5DOCR;1;34500
1322.5GRCR;6;42000
1322.5GRRT;0;41000
1322.5GY;0;57000
1322.5HK;0;56000
1322.5MHXHDD;0;65000
1322.5MHXHDZ;0;62000
1322.5PCR;0;64000
1322.5PM;0;60000
1322.5RB;125;34000
1322.5SM;0;38000
138020GRL;0;56000
14.520MS;0;55000
14.924P;0;38000
14.924SK;1;28000
14.928P;0;44000
140020GRCR;2;70000
140024AML;0;62000
140024P;0;92000
140024P200;0;65000
140024P57;0;78000
140024SK;0;53000
140024SM;0;50000
140024TR;0;53000
1417.5SP;0;33000
14513CHK;4;8500
14513CHM;61;4500
1457012DK;0;3000
1457012LW;0;3000
1457012TQ;0;3000
1457013I;50;3400
1457013KH;0;3600
1457013L;0;3200
1457013TQ;0;3000
1458013TQ;7;3200
15.525AL;0;65000
15.525P;1;75000
15512CBR;0;9500
15512CFR;58;3500
15512CTQ;1;3400
15512CW;44;4000
1556513B;0;4000
1556513S;0;3500
1556513TQ;39;3400
1556513W;54;3900
1556514W;7;3900
1557013FW;0;3300
1557013GL;0;3400
1557013HK;0;5800
1557013I;14;3600
1557013S;0;3600
1557013TQ;88;3400
1557013W;0;3900
1557014HK;0;6600
1557014N;0;4800
1557014S;0;4200
1558013DK;0;3400
1558013FW;0;3550
1558013GR;74;4100
1558013I;95;3750
1558013S;0;3800
1558013TQ;54;3700
1558013TR;0;3800
1558013W;0;4000
160024MH;0;135000
160025MH;12;400000
16513CGR;0;5800
16513CTQ;1;4500
1656014I;67;4000
